,article,qid,total_pageviews,description,category
214,Downward_Dog_Pose,Q2435158,8469,asana,Mid-importance
215,Doximity,Q5303699,376,"company in San Mateo, United States",Low-importance
216,Dr._Dot,Q112570227,159,American massage therapist,Low-importance
217,Draft:Ramon_Dino,Q109859288,2166,professional Brazilian Bodybuilder,Unknown-importance
218,Drinking_in_public,Q1543841,2291,social customs and laws concerning drinking alcohol in public,Low-importance
219,Druid,Q131081,639728,priest of Celtic religion,Mid-importance
220,Drunkorexia,Q4167713,163,term for a food and drink disorder,Low-importance
221,Duckwalk,Q1263550,2303,walking while partially squatting,Low-importance
222,Dukan_Diet,Q24386,1095,diet plan,Low-importance
223,Dumbbell,Q465453,2189,piece of equipment used in weight training,Mid-importance
224,Eating_mucus,Q5331299,1666,Act of ingesting mucus,Low-importance
225,Eddie_Hall,Q5336657,486035,British strongman,Low-importance
226,Edgewell_Personal_Care,Q5337641,257,American consumer products company,Low-importance
227,Effects_of_climate_change_on_human_health,Q2979220,1707,how climate change effects human health,Mid-importance
228,Effects_of_nicotine_on_human_brain_development,Q85758687,434,effects of electronic cigarettes on the developing human brain,Low-importance
229,Effects_of_the_car_on_societies,Q2215004,560,positive and negative impacts of cars on society,Low-importance
230,Elastic_therapeutic_tape,Q917517,2960,pseudo-medicine product; elastic cotton strip with an acrylic adhesive,Low-importance
231,Elazer_Edelman,Q22073799,18973,"American engineer, scientist and cardiologist",Unknown-importance
232,Elazer_R._Edelman,Q22073799,445,"American engineer, scientist and cardiologist",Unknown-importance
233,Electrical_muscle_stimulation,Q653580,5628,elicitation of muscle contraction using electric impulses,Mid-importance
234,Electronic_bidet,Q17010251,219,toilet and bidet combination,Unknown-importance
235,Electronic_cigarette,Q189511,298342,device usually used to quit or be an alternative to tobacco,Low-importance
236,Elizabeth_Anionwu,Q5362304,1028,"British nurse, professor and activist",Low-importance
237,Emi_Wong,Q119938304,5947,Hong Kong YouTuber,Low-importance
238,Emotional_support_animal,Q5373799,16027,companion animal that a medical professional has determined provides benefit for an individual with a disability,Low-importance
239,Endurance,Q778298,14049,ability of an organism to exert itself and remain active for a long period of time,Low-importance
240,Enteric_fever,Q125820254,3771,bacterial disease caused by the bacteria Salmonellosis,Low-importance
241,Enteritis,Q854353,1523654,intestinal inflammatory disease,Mid-importance
242,Envision_Healthcare,Q28155562,1044,American healthcare company,Low-importance
243,Epidemiology_of_obesity,Q5382727,371,recognization of obesity as an epidemic,Low-importance
244,Equinox_Group,Q5384535,28991,American luxury fitness company which operates five separate fitness brands,Low-importance
245,Erin_Elizabeth,Q107691497,2102,American alternative health advocate and conspiracy theorist,Low-importance
246,Executive_Order_13765,Q28540350,236,executive order signed by U.S. President Donald Trump,Low-importance
247,Exercise,Q219067,252914,bodily activity that enhances or maintains physical fitness and overall health and wellness,High-importance
248,Exercise-induced_anaphylaxis,Q25399683,225,severe allergic reaction due to physical activity,Unknown-importance
249,Exercise_physiology,Q472094,7502,study devoted to understanding the acute and chronic responses to physical activity,High-importance
250,Exhausted,Q9690,1090,medical symptom usually of physical and/or mental weakness that does not resolve with rest or sleep,Mid-importance
251,Exposure_(Bilott_book),Q100699629,2457,2019 memoir by Robert Bilott,Low-importance
252,Face_the_wall_squat,Q1755746,1663,workout that targets the legs,High-importance
253,Failure_to_thrive,Q1497481,28894,condition of children whose current weight or rate of weight gain is much lower than expected,Low-importance
254,False_advertising,Q1371586,38281,misleading content in advertisements,Low-importance
255,Fast_of_Nineveh,Q5437046,4074,three-day fast in Syriac Christianity,Low-importance
256,Fasting,Q44602,187692,"willing abstinence from some, or reduced consumption of, food, drink or both, for a period of time",Low-importance
257,Fat-shaming,Q7074872,134,weight prejudice,Unknown-importance
258,Fat_acceptance_movement,Q2822683,19825,social movement seeking to change anti-fat bias in social attitudes,Unknown-importance
259,Fat_fetishism,Q22905841,79981,type of paraphilia,Mid-importance
260,Fat_tax,Q1326227,1200,surcharge on fattening foods or drinks,Low-importance
261,Father_Yod,Q5437668,19967,American restaurateur and spiritual leader,Low-importance
262,Fatigability,Q9690,369,medical symptom usually of physical and/or mental weakness that does not resolve with rest or sleep,Mid-importance
263,Fatigue,Q9690,99211,medical symptom usually of physical and/or mental weakness that does not resolve with rest or sleep,Mid-importance
264,"Feed_a_cold,_starve_a_fever",Q116873421,9983,Old adage about curing illness,Low-importance
265,Ferber_method,Q3333536,44743,disputed technique used to solve infant sleeping problems,Low-importance
266,Finnish_sauna,Q1598293,10317,traditional Finnish way of bathing,High-importance
267,Fitness_trail,Q443006,319,path with outdoor body exercise obstacles for promoting good health,Low-importance
268,Flexible_spending_account,Q5458993,1767,"one of a number of tax-advantaged financial accounts, resulting in payroll tax savings",Low-importance
269,Flo_(app),Q60761955,801,menstruation and menopause tracking app,Low-importance
270,Fly_(exercise),Q255513,254,strength training exercise,Unknown-importance
271,Food_Safety_and_Standards_Authority_of_India,Q5465383,314,government body in India,Mid-importance
272,Food_allergy,Q769815,4496,"hypersensitivity reaction type I disease that is an abnormal response to a food, triggered by the body's immune system",High-importance
273,Footspeed,Q5466593,2463,maximum speed that a human can run,Unknown-importance
274,Forced_sterilization_in_Peru,Q97170499,2702,1990s ethnic cleansing of native peoples,Low-importance
275,Forest_bathing,Q48818118,1617,Broad group of unscientific techniques or treatments for health,Low-importance
276,Form_1095,Q25083451,8279,United States tax form,Low-importance
277,Forrest_Preston,Q21066960,912,American Businessman,Low-importance
278,FreeLife,Q5499653,183,American multi-level marketing company,Low-importance
279,French_paradox,Q920134,1372,catchphrase for the apparent paradox that French people have a low incidence of heart disease while consuming many saturated fats,Low-importance
280,Fresh'n,Q5502913,685,1970s toilet paper substitute,Unknown-importance
281,Furious_Pete,Q13399911,1516,"Canadian bodybuilder, competitive eater and YouTuber",Low-importance
282,GMO_food_labelling,Q2575667,370,controversies over GMO food,Low-importance
283,Gait_belt,Q5517369,172,device put on a patient who has mobility issues,Low-importance
284,Gary_Taubes,Q3098624,1585,American science writer,Low-importance
285,Gaza_Health_Ministry,Q724644,4797,government ministry of the State of Palestine,Low-importance
286,Gender-affirming_care,Q28130218,12539,prevention of disease and promotion of wellbeing for transgender individuals,Mid-importance
287,Genetically_modified_food_controversies,Q2575667,1888,controversies over GMO food,Low-importance
288,Geoffrey_Woo,Q123575836,13088,American business person,Low-importance
289,Give_up_smoking,Q2462253,302,process of discontinuing tobacco smoking,Low-importance
290,Glasgow_effect,Q5566976,3912,"low life expectancy and poor health of residents of Scotland, and Glasgow in particular, compared to the rest of Europe",Unknown-importance
291,Gleem,Q5567491,133,brand of oral hygiene products,Low-importance
292,Global_Accessibility_Awareness_Day,Q30325118,2428,"The purpose of GAAD is to get everyone talking, thinking and learning about digital (web, software, mobile, etc.) access/inclusion and people with different disabilities.",Low-importance
293,Global_health,Q2725393,474,collaborative trans-national research and action for promoting health for all,High-importance
294,Global_health_emergency,Q17076801,13706,"an extraordinary event which is determined to constitute a public health risk to other States through the international spread of disease and to potentially require a coordinated international response, as declared by WHO",Low-importance
295,Glycemic_load,Q1929014,278,estimate of how much a quantity of food will raise a person's blood glucose level,Mid-importance
296,Goggle,Q72797,321,forms of protective eyewear,Low-importance
297,Goggles,Q72797,91,forms of protective eyewear,Low-importance
298,Gold's_Gym,Q1536234,47783,US international fitness center chain,Low-importance
299,Google_Fit,Q18150347,117,health platform,Low-importance
300,Google_Health,Q1296464,649,"division of Google, dealing with personal health information",Unknown-importance
301,Great_American_Smokeout,Q5598647,91,Day to encourage smoking cessation,Low-importance
302,Greg_Plitt,Q5606144,94526,American fitness model and actor (1977–2015),Mid-importance
303,Gregg_Gonsalves,Q5606534,495,"American epidemiologist, health activist and MacArthur Fellow",Low-importance
304,Grippers,Q1435859,8464,used to test and increase the strength of the hands,Low-importance
305,Ground-glass_opacity,Q3150728,32740,"for some diseases or changes in the lungs, examination shows uniform-looking, lighter areas in the lungs",Unknown-importance
306,Grunya_Sukhareva,Q514110,93,Ukrainian-Russian psychiatrist and university teacher (1891-1981),Low-importance
307,Grupo_Omnilife,Q5612243,742,Mexican multi-level marketing company,Low-importance
308,Gym,Q14092,7983,building designed and equipped for athletics and fitness,Low-importance
309,Gyroscopic_exercise_tool,Q261030,151,trademark,Low-importance
310,Hair_care,Q3633540,303,hygiene and cosmetology involving human hair,Low-importance
311,Hairbrush,Q1642980,315,stick brush with rigid or soft bristles used in hair care,Low-importance
312,Halasana,Q12459994,232,inverted posture in hatha yoga,Mid-importance
313,Hammer_toe,Q602477,58225,"deformity of the proximal joint of the second, third or fourth toe",Unknown-importance
314,Handkerchief,Q192411,22445,piece of cloth for personal use,Low-importance
315,Hans_Rosling,Q588259,2232,"Swedish medical doctor, academic, statistician and public speaker",Unknown-importance
316,Harley_Pasternak,Q5658834,17498,Canadian personal trainer,Unknown-importance
317,Harm_reduction,Q1458711,22072,range of public health policies designed to lessen the negative social and/or physical consequences associated with various human behaviors,Unknown-importance
318,Harry_and_Louise,Q5673634,243,1993–94 American political ad campaign,Low-importance
319,Haven_Healthcare,Q65080847,758,American healthcare company,Low-importance
320,Healing,Q1581290,2235,process of the restoration of health,Mid-importance
321,Health,Q12147,270503,desirable level of functional or metabolic efficiency of a living being,High-importance
322,HealthCorps,Q16983661,1318,organization,Low-importance
323,Health_Authorities_Act_1995,Q16251481,277,publicly funded system of healthcare in England,High-importance
